content,predicted_label
jos,1
terimakasih dokter ramah dan baik respon juga cepat ,0
tanya jawabnya cepat.. cukup jelas.. terimakasih,0
"sangat membantu dan bagi yang takut ke dokter atau ga bisa pergi ke dokter, bisa konsultasi secara gratis",0
"bagus sih jujur, buat yg bingung klo sakit mau bli obat apa app ini ngebantu bangett",2
sangat membantu disaaat sedang urgent ,0
membantu saya di saat sndrian,0
"cukup baik, setidaknya bisa konsultasi terdahulu sebelum ke dokter spesialis yang ingin di tuju.",0
nice,1
pengiriman obatnya lamaa sekali tdk di proses2 apa harus nunggu org nya mati dulu baru dikirim obatnya ?? tdk ada kejelasan apakah barangnya ready atau ga..mau cancel pun ga bisa juga tolong di tingkatin lagi pengiriman nya..atau gausah adain layanan aloshopnya kalo memang ga sanggup untuk ngirim obatnya..jd cukup kasih resep aja dan pasien beli sendiri di apotek terdekat haduuuuuuhhh ampuuuunnnn,2
sangat bagus,1
ok,1
"helo dok,usia kndungan sy 28mggu kondisi janin 2mgu ini kenceng trs gmn?",2
sangat membantu,0
dokter onlinenya respon lama.. ga bs interaksi lngsng sm dokternya via chat..,0
sangat membantu,0
"dok saya mau tanya mata saya terkena debu,dan debu nya ada di atas kelopak mata saya..dan saya sudah membersihkan mata saya dengan air tidak berhasil..harus gimana ini dok?tolong berikan solusi..saya akan bantu promosi kan aplikasi alodokter kalau di kasi tips nya",2
"harus daftar pakai no hp ya ga bisa pakai email aja, sya di luar negri ga bisa daftar",2
sangat membantu sekali,0
sangat membantu sekali,0
sangat sangat membantu,0
saya setuju dengan ka latifa diah teknik marketing nya mengecewakan kaya kesan nya penipuan masa di telpon... minta data diri no rekenening... harus daftar yg berlangganan,2
"gajelas bgt autodebet, ketarik 39 ribu. penipu katanya harus dikonfirmasi dulu ini ngga ada konfirmasi malah ditarik. jangan mau bantu orang yg mau daftarin kalian alodokter.",2
fast respon. mantap,0
berguna,1
good,0
fast respon sekali. mantap,0
very good..!! mmperoleh analisa en prtimbangan medis dg biaya hemat,0
membantu untuk menjelaskan secara umum,1
kasih 4 dulu,1
yth alodekter tolong dong saya udah bayar untuk chat kedokter nya tapi dokter nya malah offline,1
kakak saya kena dbd...saya cari informasi tentang trombosit yg normal,0
"dok, saya terasa seperti sakit kepala tapi tdk terlalu berat, apa obatnya?",0
saya sangat perlu konsultasi dengan dokter,0
"tolong kepada alodokter di tindak lanjuti ya yang selalu nelpon atas nama alodokter dan mengatakan dapat asuransi 2jt jika terkena dbd, menanyakam rekening yang saya pakai, menanyakan detail ktp. tolong lebih bijak lagi dalam mengelola data kenapa bisa data sampai bocor seperti ini, banyak yang sudah ketipu tapi kalian tidak ada tanggung jawabnya sama sekali. untuk kalian yang mau donwload alodokter tolong dipikir lagi, jgn sampai ketipu seperti yg lain. bad aplikasi dan pengelolaannya !!!!!!",2
"apl ini mdh""n membantu,terima kasih.t erima kasih juga buat sarannya.",0
sangat membantu,0
alhamdulillah berguna banget aplikasinya,1
terima kasih. pelayanan bagus,0
alhamdulillah sangat berguna,1
terima kasih,1
biasa aja,1
manfaat,1
tolong saya mau kluar dari aplikasi.. dan potongan otomatis di atm hentikan,2
sangat membantu,0
lebih mudah,1
masih coba² dlu,1
"sebaiknya artiket dikasih gambar untuk memperjelas sub judul yang diberikan. biar jelas, ngga baca sambil membayangkan.",2
sangat baik,1
bagus,1
baik,1
meskipun alodokter yg gratis cuma dokter umum itu sdh membantu sy utk menangani sakit penyakit yg sy tdk mengerti.tolong tarif masing2x dokter spesialis jngn mahal2x gan.thx gan.,2
"biaya konsultasi naik tapi tingkat pelayanan semakin menurun. waktu tunggu untuk jawaban dokter pada saat konsultasi lebih dari 20 menit. kita yg butuh jawaban sampai bosan menunggunya. padahal kita kan sudah bayar, kalau sekiranya jadwal dokter spesialis tersebut padat atau banyak pasien mohon jgn ditampilkan dipilihan dokter tersedia. jadi kita gak kecewa",2
aplikasi ini sangatt sangatt membantu,1
cepet tanghap,0
bagus,1
salam knl bu/pak dokter,2
sangat bermanfaat,0
the best,1
bbbbaaaagggguuuusssss bangettt,0
baik,1
