Word,POS Tag,Frequency
informasi,NOUN,21
dan,CONJ,712
rekomendasi,NOUN,7
lengkap,ADJ,17
mudah,ADJ,92
dipahami,VERB,32
baik,ADJ,341
untuk,ADP,187
kesehatan,NOUN,44
terimakasih,ADV,129
dok,NOUN,126
sehat,ADJ,27
ya,X,78
atas,ADP,31
saran,NOUN,28
sarannya,NOUN,10
sangat,ADV,901
memuaskan,VERB,51
respon,NOUN,295
cepat,ADJ,271
pelayanan,NOUN,71
sekali,ADV,175
apa,NOUN,83
obat,NOUN,185
pereda,NOUN,2
sakit,ADJ,69
karna,ADV,29
keseleo,NUM,1
menurut,VERB,3
aku,PRON,31
the,DET,9
best,NOUN,8
banget,NOUN,109
dech,NOUN,1
ini,DET,214
aplikasi,NOUN,268
suka,VERB,22
banyak,ADV,57
artikel2,NOUN,2
yg,ADV,230
bisa,ADV,249
kita,PRON,76
baca,VERB,2
n,NOUN,13
ilmu,NOUN,2
pengetahuannya,NOUN,1
trus,NOUN,18
d,NOUN,38
samping,NOUN,1
itu,DET,57
langsung,ADV,79
berhubungan,VERB,2
dengan,ADP,149
dokter2,NOUN,2
ada,VERB,205
sekitar,ADP,5
jawaban,PROPN,65
jelas,ADJ,135
membantu,VERB,538
mantab,PROPN,4
bagus,ADJ,240
puas,ADJ,105
siip,PROPN,1
apk,PROPN,58
berguna,VERB,16
wah,PROPN,1
memudahkan,VERB,10
konsultasi,NOUN,139
dokter,NOUN,642
spesialis,VERB,31
tanpa,ADP,22
ke,ADP,144
rumah,NOUN,24
jangan,CONJ,28
percaya,VERB,4
sama,ADJ,81
karena,CONJ,49
tidak,X,260
di,ADP,449
buka,NOUN,14
begini,VERB,7
mata,NOUN,13
saya,PRON,424
kelopak,NOUN,2
nya,NOUN,348
masuk,VERB,36
dalam,ADP,46
kelihatan,VERB,2
bola,NOUN,2
jadi,VERB,46
besar,ADJ,2
bawah,NOUN,8
berkntung,NOUN,1
berkedip,NOUN,1
juga,ADV,121
rasa,NOUN,11
seret,NOUN,1
ga,X,109
enak,ADJ,11
kira,ADV,14
sembuh,VERB,20
tida,NOUN,1
ramah,ADJ,256
pokonya,NUM,3
responnya,NOUN,33
penjelasan,NOUN,109
jg,ADV,15
mengerti,VERB,15
lagi,ADV,110
nunggu,VERB,45
cantik,ADJ,3
mantap,PROPN,62
men,PROPN,1
konsultasinonline,NOUN,1
puass,PROPN,3
terbaik,ADJ,26
lebih,ADV,98
ahli,NOUN,1
meskipun,ADV,3
tanggapan,NOUN,8
hasil,NOUN,11
dr,NOUN,63
keluhan,NOUN,23
bermanfaat,ADJ,64
tdk,NOUN,34
sampai,ADP,54
2,NUM,33
menit,NOUN,45
resep,NOUN,58
lgsg,NOUN,3
diberikan,VERB,17
bgus,PROPN,7
puassss,PROPN,2
menjawab,VERB,23
setiap,DET,33
pertanyaan,NOUN,49
dgn,ADP,36
oke,PROPN,28
pelayanannya,NOUN,17
menangani,VERB,4
semua,DET,58
hal,NOUN,4
terutama,ADV,4
dokternya,NOUN,254
good,PROPN,67
sangar,PROPN,3
overclaim,NOUN,1
dikirimkirim,VERB,1
padahal,ADV,71
bilang,VERB,5
max,NOUN,1
1,NUM,53
jam,NOUN,67
chat,NOUN,193
cs,NOUN,17
gaada,VERB,9
ngebantu,PROPN,2
orang,NOUN,39
sudah,ADV,155
mau,ADV,121
mati,ADJ,3
tapi,CONJ,137
diantar,VERB,1
akhirnya,ADV,11
terpaksa,ADV,1
beli,VERB,32
apotik,NOUN,12
dasar,ADJ,4
penipuan,NOUN,4
puasdokter,NOUN,1
cpt,NOUN,11
info,NOUN,9
bayar,NOUN,201
gak,PROPN,119
merespongak,NUM,1
solusiterus,NOUN,1
bagaimana,ADV,12
kecewa,VERB,36
sisoalnya,PROPN,1
sedang,ADV,13
online,ADJ,28
alhamdulillah,PROPN,22
penjelasannya,NOUN,62
cukup,ADV,43
buat,ADP,77
walaupun,CONJ,10
sya,NOUN,22
tanya,NOUN,29
seharus,PROPN,2
ny,NOUN,11
tht,NOUN,3
tpi,PROPN,16
bu,NOUN,12
arahan,NOUN,7
job,NOUN,5
selalu,ADV,50
halo,PROPN,12
nanya,VERB,14
apakah,ADV,16
kalau,CONJ,39
telat,NOUN,2
haid,NOUN,1
kisaran,NOUN,1
3,NUM,38
mingguan,NOUN,1
belum,ADV,61
tespek,NOUN,1
boleh,ADV,5
intim,NOUN,1
takut,ADJ,3
ngaruh,NOUN,1
gmana,NOUN,1
gtu,PROPN,3
mohon,NOUN,21
rama,NOUN,2
assalamualikum,PROPN,1
kenapa,ADV,38
donlod,VERB,1
alodokter,NOUN,138
katanya,NOUN,17
menerima,VERB,2
akses,NOUN,2
responsif,PROPN,17
trs,PROPN,10
sukses,ADJ,15
ibu,NOUN,10
kurang,ADV,30
tempat,NOUN,8
berobat,NOUN,21
secara,ADP,25
dipercaya,VERB,1
sebagaimana,CONJ,1
bngt,NOUN,6
saranya,PROPN,1
cocok,VERB,20
hamil,NOUN,4
trima,NOUN,6
kasih,NOUN,137
dimengerti,VERB,21
lama,ADJ,109
kebanyakan,NOUN,4
template,NOUN,6
real,VERB,3
seperti,ADP,25
pasien,NOUN,30
sdh,NOUN,24
dijawab,VERB,18
ketika,CONJ,24
membalas,VERB,7
not,PROPN,2
recomended,NUM,4
untungnya,ADV,2
pake,VERB,41
admedika,NOUN,1
kalo,NOUN,28
pembayaran,NOUN,17
pribadi,ADJ,10
pasti,ADV,8
merugikan,VERB,6
yang,PRON,203
menjelaskan,VERB,20
detail,NOUN,62
blm,NOUN,21
tau,VERB,25
se,NOUN,4
worth,PROPN,5
it,NOUN,6
soalnya,NOUN,6
baru,ADJ,46
nyoba,NOUN,5
dann,PROPN,1
daftar,NOUN,15
aja,NOUN,95
susahh,NOUN,1
bangettt,NOUN,5
no,PROPN,10
otp,NUM,16
kaga,PROPN,12
kekirim,PROPN,1
udh,PROPN,58
ampe,PROPN,3
5x,PROPN,1
bijaksana,ADJ,1
curhatnya,NUM,1
responsip,NUM,2
30,NUM,12
jawab,NOUN,31
risna,PROPN,1
safitri,PROPN,1
dikala,NOUN,3
membutuhkan,VERB,7
teliti,PROPN,10
trimakasih,NUM,13
rahmat,PROPN,1
risky,NOUN,1
terima,VERB,92
pak,NOUN,5
y,VERB,9
baikpenjelasan,NOUN,1
rinci,ADJ,10
sabar,NOUN,40
utk,NOUN,18
balas,NOUN,28
chatpertnyaan,NOUN,1
seksama,NOUN,2
maksimaltrmksh,NOUN,1
sllu,NUM,4
aaah,PROPN,1
serba,PROPN,5
perbayar,NOUN,2
detailrespon,VERB,1
cepatmakasih,PROPN,1
dokk,PROPN,1
tanggap,NOUN,18
maksih,PROPN,3
njelaskan,NOUN,1
nyatrimakasih,PROPN,1
terus,ADV,41
sangatbramah,NOUN,1
jadwal,NOUN,5
beda,ADJ,2
mana,NOUN,24
refundnya,NOUN,1
penangananya,NUM,1
keren,PROPN,25
sih,NOUN,32
konsul,VERB,67
sngat,NOUN,7
mebantu,ADJ,1
verifikasi,NOUN,11
hp,NOUN,11
dah,PROPN,14
isi,VERB,4
malah,NOUN,92
nyangkut,NUM,1
trmksih,PROPN,1
dokterdokternya,PROPN,1
ramahdan,PROPN,1
menunggu,VERB,23
keluh,NOUN,6
kesah,NOUN,7
semoga,CONJ,68
anak,NOUN,29
bersih,ADJ,2
lg,NOUN,24
kulit,NOUN,12
puassngt,PROPN,1
mmbantu,NUM,2
trm,PROPN,3
ksh,NUM,5
luar,ADJ,19
biasa,ADJ,17
sebagai,ADP,6
pasian,NOUN,1
tegas,ADJ,3
ringkas,NOUN,1
diluar,ADP,3
dari,ADP,108
tampilan,NOUN,1
fiturnya,NOUN,3
ingin,ADV,27
memberi,VERB,9
ulasan,NOUN,6
pada,ADP,14
umum,ADJ,21
waktu,NOUN,40
kemudian,ADV,6
setelah,ADP,35
bertanya,VERB,21
tahu,VERB,4
10,NUM,6
pembicaraan,NOUN,2
ditutup,VERB,16
bangetdan,NOUN,1
nngu,NOUN,1
jawab2,NOUN,2
akhir,NOUN,3
tinggal,VERB,7
ngerjain,NOUN,1
sesuatu,NOUN,1
dlu,PROPN,8
bgtu,NOUN,3
lihat,VERB,6
bales,NOUN,11
kasi,VERB,8
cm,NOUN,2
sbntr,NOUN,1
konfirmasi,NOUN,10
okein,NOUN,1
ttup,PROPN,2
sesi,NOUN,15
otomatis,NOUN,27
sia2,NOUN,5
dpet,NOUN,1
apa2,NOUN,8
dalm,VERB,1
namun,CONJ,15
utuk,VERB,1
pemesanan,NOUN,5
via,ADP,9
lambat,ADJ,14
merasa,VERB,9
mnunggu,PROPN,2
yng,NOUN,1
pesan,NOUN,27
gk,NOUN,50
sampaisya,NUM,1
berharap,VERB,4
kejadian,NOUN,2
sprti,NOUN,5
terulang,VERB,1
kembali,VERB,10
joob,NUM,1
tentang,ADP,13
kedokteran,NOUN,2
gabisa,NOUN,15
dibuka,VERB,9
45,NUM,5
beres,VERB,2
15,NUM,3
balasnya,NUM,6
poll,NOUN,1
dulu,ADV,41
tolong,NOUN,54
perbaiki,NOUN,10
sistemnya,NOUN,2
ko,NOUN,9
jawabannya,NOUN,17
disuruh,VERB,22
paket,NOUN,5
udah,NOUN,90
12,NUM,4
hari,NOUN,55
masih,ADV,31
tunggu,NOUN,21
9,NUM,2
tp,NOUN,48
nyatanya,NOUN,2
minta,NOUN,17
refund,NOUN,25
alasannya,NOUN,1
pdhl,PROPN,13
org,PROPN,11
skt,PROPN,1
kok,X,18
masukan,NOUN,6
nomor,NOUN,5
dapet,NOUN,7
kode,NOUN,15
kodenya,NOUN,2
