content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords
bagus cepat,5,0.0,0.0,Positive,2,bagus cepat,2
"dokternya ramah dan cepat dalm menjawab konsultasi pasien, namun utuk pemesanan resep obat via online lambat dan saya merasa kecewa karna mnunggu sangat lama obat yng d pesan gk sampai"".sya berharap kejadian sprti ini tidak terulang kembali",2,0.0,0.0,Negative,40,dokternya ramah cepat dalm konsultasi pasien utuk pemesanan resep obat via online lambat kecewa karna mnunggu obat yng d pesan gk sampaisya berharap kejadian sprti terulang,26
penjelasan sangat detail dan dokternya ramah good joob,5,0.7,0.6000000000000001,Positive,8,penjelasan detail dokternya ramah good joob,6
ingin tahu tentang kedokteran,5,0.0,0.0,Positive,4,kedokteran,1
sangat rinci,4,0.0,0.0,Positive,2,rinci,1
"sudah bayar, aplikasi gabisa dibuka ini kenapa dah??",3,0.0,0.0,Neutral,11,bayar aplikasi gabisa dibuka dah,5
sangat membantu,5,0.0,0.0,Positive,2,membantu,1
"responnya lama banget, chat 45 menit tidak beres, nunggu balas dari dokternya 15 menit belum lagi sekali chat balasnya lama poll dulu alodokter tidak seperti ini tolong di perbaiki sistemnya",3,0.0,0.0,Neutral,32,responnya banget chat 45 menit beres nunggu balas dokternya 15 menit chat balasnya poll alodokter tolong perbaiki sistemnya,18
saya sudah bayar ko belum ada jawabannya dan mau chat lagi disuruh bayar lagi ???,1,0.0,0.0,Negative,17,bayar ko jawabannya chat disuruh bayar,6
paket obat nya lama banget. udah 12 hari masih belum sampai,1,0.0,0.0,Negative,12,paket obat banget udah 12,5
sangat puas,5,0.0,0.0,Positive,2,puas,1
terima kasih,5,0.0,0.0,Positive,2,terima kasih,2
sangat ramah dan membantu sekali,5,0.0,0.0,Positive,5,ramah membantu,2
"respon dokter lama, disuruh tunggu 9 menit tp nyatanya 1 jam. minta refund banyak alasannya pdhl org lg skt disuruh nunggu lama",1,0.0,0.0,Negative,24,respon dokter disuruh tunggu 9 menit tp 1 jam refund alasannya pdhl org lg skt disuruh nunggu,17
luar biasa,5,0.0,0.0,Positive,2,,0
kok saya udah masukan nomor hp udah dapet kode ga masuk masuk ya padahal udah saya masukan kodenya tpi gada apapa cuman ada verivikasi otp doang sama kodenya,3,0.0,0.0,Neutral,28,udah masukan nomor hp udah dapet kode ga masuk masuk udah masukan kodenya tpi gada apapa cuman verivikasi otp doang kodenya,21
"underrated bayar mahal² gaada jawaban. kenapa harus lolos verification google play sih, sama aja scam ini",1,0.0,0.0,Negative,18,underrated bayar mahal² gaada lolos verification google play sih scam,10
ingin konsul tpi tdk ada aplikasi dana jdi tdk bisa konsultasi karna sy hanya punya aplikasi dana,3,0.0,0.0,Neutral,17,konsul tpi tdk aplikasi dana jdi tdk konsultasi karna aplikasi dana,11
sangat membantu,3,0.0,0.0,Neutral,2,membantu,1
"penjelasannya sangat membantu,, semoga saya bisa menjadi lebh tenang setlh ini.",5,0.0,0.0,Positive,14,penjelasannya membantu semoga lebh tenang setlh,6
"apaan..barusan chat ,katanya disuruh tunggu 8 menit. lah ini lama banget ,udah set.jam dan gak dijawab2 pdhl udah bayar juga. komplen ke customer service malah gak ada jawaban. jangan download aplikasi ini, jelek banget",1,0.0,0.0,Negative,42,apaanbarusan chat disuruh tunggu 8 menit banget udah setjam gak dijawab2 pdhl udah bayar komplen customer service gak download aplikasi jelek banget,22
puas,5,0.0,0.0,Positive,1,puas,1
baguss,5,0.0,0.0,Positive,1,baguss,1
sangat membantu sekali untuk tes cpns,5,0.0,0.0,Positive,6,membantu tes cpns,3
terimakasih banyak untuk solusi nya ,5,0.0,0.0,Positive,5,terimakasih solusi,2
good,5,0.7,0.6000000000000001,Positive,1,good,1
"beli obat lewat aplikasi alodokter , berhubung di apoteknya gak ada di aliran manual beli di apotek k24 ternyata harga di aplikasi alodokter sama k24 berbeda jauh separuh harga. gue rugiiiiiii dari 51 ribuan jadi 27 ribuan....",1,0.0,0.0,Negative,39,beli obat aplikasi alodokter berhubung apoteknya gak aliran manual beli apotek k24 harga aplikasi alodokter k24 berbeda separuh harga gue rugiiiiiii 51 ribuan 27 ribuan,25
jelek pelayanan nya lambat bangettt,1,0.0,0.0,Negative,5,jelek pelayanan lambat bangettt,4
aplikasi lamban jadi jawaban dokter lama masuk,3,0.0,0.0,Neutral,7,aplikasi lamban dokter masuk,4
dokternya kompeten dan fast response,5,0.2,0.6,Positive,5,dokternya kompeten fast response,4
"dr. tania maulani, sp.m lama sekali dia respon bagian mata. saya kan member uang di potong perbulan dari alodokter. tapi dikecewakan begini",1,0.0,0.0,Negative,25,dr tania maulani spm respon mata member uang potong perbulan alodokter dikecewakan,12
"mengecewakan saya chat dg spkk, berbayar, tapi 30 menit tidak efektif. chat tidak masuk² meskipun sudah di refresh. alhasil tidak ada solusi dr dokter.",1,0.0,0.0,Negative,29,mengecewakan chat spkk berbayar 30 menit efektif chat masuk² refresh alhasil solusi dr dokter,14
dokterna baik n tanggap,5,0.0,0.0,Positive,4,dokterna n tanggap,3
baik dan sabar serta menyenangkan,4,0.0,0.0,Positive,5,sabar menyenangkan,2
dokternya sangat clear menjelaskan dan menjawab pertanyaan saya.,5,0.10000000000000002,0.3833333333333333,Positive,9,dokternya clear,2
good,5,0.7,0.6000000000000001,Positive,1,good,1
bagussss,5,0.0,0.0,Positive,1,bagussss,1
sangat membantu dokternya ramah terimakasih dokter,5,0.0,0.0,Positive,6,membantu dokternya ramah terimakasih dokter,5
mau tanya keluhan bola mata pasca kecelakaan pandangan ganda,4,0.0,0.0,Positive,9,keluhan bola mata pasca kecelakaan pandangan ganda,7
"dokternya baik, informasi yang diberikan jelas, sangat membantu.",5,0.0,0.0,Positive,11,dokternya informasi membantu,3
cepat respon dan penjelasan detail,5,0.0,0.0,Positive,5,cepat respon penjelasan detail,4
"aplikasi brengsek. orang lagi sakit malah pesen obat dibatalkan melulu. chat apotek k24 kemanggisan katanya yg batalin aplikasi alodokter, chat alodokter katanya yang batalin apoteknya",1,0.0,0.0,Negative,28,aplikasi brengsek orang sakit pesen obat dibatalkan melulu chat apotek k24 kemanggisan batalin aplikasi alodokter chat alodokter batalin apoteknya,19
makin lemot,1,0.0,0.0,Negative,2,lemot,1
"dokternya ramah,penjelasannya mudah dimengerti sangat menbantu sekali",5,0.0,0.0,Positive,9,dokternya ramahpenjelasannya mudah dimengerti menbantu,5
awesome penjelasan sangat detail,5,1.0,1.0,Positive,4,awesome penjelasan detail,3
pelayanannya pendaftaran memuaskan,5,0.0,0.0,Positive,3,pelayanannya pendaftaran memuaskan,3
pernah pakai dan puas,5,0.0,0.0,Positive,4,pakai puas,2
dokternya sangat sabar dan baik,5,0.0,0.0,Positive,5,dokternya sabar,2
mantap,5,0.0,0.0,Positive,1,mantap,1
sangat ramah dan mudah dipahami penjelasan nya,5,0.0,0.0,Positive,7,ramah mudah dipahami penjelasan,4
terima kasih. respon dokter nya sangat cepat,5,0.0,0.0,Positive,8,terima kasih respon dokter cepat,5
"cepat tanggap, dr baik n sangat membantu,smoga obtnya cocok",5,0.0,0.0,Positive,12,cepat tanggap dr n membantusmoga obtnya cocok,7
"customer services kurang membantu, lama prosesnya cuman via wa, tidak bisa protes kalau barang yang dikirim salah. harga dan kuantitas yang tercantum di aplikasi tidak sesuai dengan jumlah barang yang di dapat saat sampai di rumah (harusnya 24 ribu dapat 2 pcs, malah cuman satu yang dikirim). kalau ngajuin pembatalan terkait janji cek kesehatan susah, prosesnya lama. tidak bisa kasih catatan juga buat apotek kalau mau kasih notes saat beli barang",2,0.0,0.0,Negative,80,customer services membantu prosesnya cuman via wa protes barang dikirim salah harga kuantitas tercantum aplikasi sesuai barang rumah 24 ribu 2 pcs cuman dikirim ngajuin pembatalan terkait janji cek kesehatan susah prosesnya kasih catatan apotek kasih notes beli barang,39
"respon sangat cepat sekali serta penjelasannya detail mudah dimengerti, trimaksih dok ",5,0.0,0.0,Positive,12,respon cepat penjelasannya detail mudah dimengerti trimaksih dok,8
"chat dokter spesialis berbayar tapi jawabannya satu dua patah kata, sangat tidak memuaskan, mending cari rujukan bpjs. masih lebih baik pelayanan tatap muka bpjs daripada bayar 45.000 , pelit jawaban.",1,0.0,0.0,Negative,34,chat dokter spesialis berbayar jawabannya patah memuaskan mending cari rujukan bpjs pelayanan tatap muka bpjs bayar 45000 pelit,18
"chat kaya template, dijelasin gimanya keadaan, dibaca tok, notifnya dokter sedang menganalisis masalahmu, tapu luamaaaa setengah jam lebih tiba2 endchat, percuma bayar ga ada hasil apa2!",1,0.0,0.0,Negative,32,chat kaya template dijelasin gimanya dibaca tok notifnya dokter menganalisis masalahmu tapu luamaaaa jam tiba2 endchat bayar ga hasil apa2,20
"kapan indonesia maju, kalau chat dengan dokter aja berbayar, sedangkan chat di aplikasi biru gratis, padahal cuma nanya masalah seputar penyakit....",1,0.0,0.0,Negative,25,indonesia maju chat dokter berbayar chat aplikasi biru gratis nanya seputar penyakit,12
gara gara 1 dokter pelayanan nya ga bagus . belum beres diagnosa dan blm dpt resep obat tapi chat sudah di akhir secara sebelah pihak . mau di refund proses nya 14 hari kerja .kelamaan ..,2,0.0,0.0,Negative,36,gara gara 1 dokter pelayanan ga bagus beres diagnosa blm dpt resep obat chat sebelah refund proses 14 kerja,19
sangat berguna,5,0.0,0.0,Positive,2,berguna,1
siiip mantap,5,0.0,0.0,Positive,2,siiip mantap,2
"ramah,baik,sopan",5,0.0,0.0,Positive,5,ramahbaiksopan,1
memuaskan,4,0.0,0.0,Positive,1,memuaskan,1
respon yang sangat baik,5,0.0,0.0,Positive,4,respon,1
baik,5,0.0,0.0,Positive,1,,0
penjelasan cukup memuaskan,4,0.0,0.0,Positive,3,penjelasan memuaskan,2
terbaik,5,0.0,0.0,Positive,1,terbaik,1
