content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords,review_stem_without_stopwords
bagus cepat,5,0.0,0.0,Positive,2,bagus cepat,2,bagus cepat
"dokternya ramah dan cepat dalm menjawab konsultasi pasien, namun utuk pemesanan resep obat via online lambat dan saya merasa kecewa karna mnunggu sangat lama obat yng d pesan gk sampai"".sya berharap kejadian sprti ini tidak terulang kembali",2,0.0,0.0,Negative,40,dokternya ramah cepat dalm konsultasi pasien utuk pemesanan resep obat via online lambat kecewa karna mnunggu obat yng d pesan gk sampaisya berharap kejadian sprti terulang,26,dokter ramah cepat dalm konsultasi pasien utuk mesan resep obat via online lambat kecewa karna mnunggu obat yng d pesan gk sampaisya harap jadi sprti ulang
penjelasan sangat detail dan dokternya ramah good joob,5,0.7,0.6000000000000001,Positive,8,penjelasan detail dokternya ramah good joob,6,jelas detail dokter ramah good joob
ingin tahu tentang kedokteran,5,0.0,0.0,Positive,4,kedokteran,1,dokter
sangat rinci,4,0.0,0.0,Positive,2,rinci,1,rinci
"sudah bayar, aplikasi gabisa dibuka ini kenapa dah??",3,0.0,0.0,Neutral,11,bayar aplikasi gabisa dibuka dah,5,bayar aplikasi gabisa buka dah
sangat membantu,5,0.0,0.0,Positive,2,membantu,1,bantu
"responnya lama banget, chat 45 menit tidak beres, nunggu balas dari dokternya 15 menit belum lagi sekali chat balasnya lama poll dulu alodokter tidak seperti ini tolong di perbaiki sistemnya",3,0.0,0.0,Neutral,32,responnya banget chat 45 menit beres nunggu balas dokternya 15 menit chat balasnya poll alodokter tolong perbaiki sistemnya,18,responnya banget chat 45 menit beres nunggu balas dokter 15 menit chat balas poll alodokter tolong baik sistem
saya sudah bayar ko belum ada jawabannya dan mau chat lagi disuruh bayar lagi ???,1,0.0,0.0,Negative,17,bayar ko jawabannya chat disuruh bayar,6,bayar ko jawab chat suruh bayar
paket obat nya lama banget. udah 12 hari masih belum sampai,1,0.0,0.0,Negative,12,paket obat banget udah 12,5,paket obat banget udah 12
sangat puas,5,0.0,0.0,Positive,2,puas,1,puas
terima kasih,5,0.0,0.0,Positive,2,terima kasih,2,terima kasih
sangat ramah dan membantu sekali,5,0.0,0.0,Positive,5,ramah membantu,2,ramah bantu
"respon dokter lama, disuruh tunggu 9 menit tp nyatanya 1 jam. minta refund banyak alasannya pdhl org lg skt disuruh nunggu lama",1,0.0,0.0,Negative,24,respon dokter disuruh tunggu 9 menit tp 1 jam refund alasannya pdhl org lg skt disuruh nunggu,17,respon dokter suruh tunggu 9 menit tp 1 jam refund alas pdhl org lg skt suruh nunggu
luar biasa,5,0.0,0.0,Positive,2,,0,
kok saya udah masukan nomor hp udah dapet kode ga masuk masuk ya padahal udah saya masukan kodenya tpi gada apapa cuman ada verivikasi otp doang sama kodenya,3,0.0,0.0,Neutral,28,udah masukan nomor hp udah dapet kode ga masuk masuk udah masukan kodenya tpi gada apapa cuman verivikasi otp doang kodenya,21,udah masuk nomor hp udah dapet kode ga masuk masuk udah masuk kode tpi gada apapa cuman verivikasi otp doang kode
"underrated bayar mahal² gaada jawaban. kenapa harus lolos verification google play sih, sama aja scam ini",1,0.0,0.0,Negative,18,underrated bayar mahal² gaada lolos verification google play sih scam,10,underrated bayar mahal gaada lolos verification google play sih scam
ingin konsul tpi tdk ada aplikasi dana jdi tdk bisa konsultasi karna sy hanya punya aplikasi dana,3,0.0,0.0,Neutral,17,konsul tpi tdk aplikasi dana jdi tdk konsultasi karna aplikasi dana,11,konsul tpi tdk aplikasi dana jdi tdk konsultasi karna aplikasi dana
sangat membantu,3,0.0,0.0,Neutral,2,membantu,1,bantu
