content,score,sentiment_label,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords
informasi dan rekomendasi lengkap dan mudah dipahami,5,positive,positive,7,informasi rekomendasi lengkap mudah dipahami,5
baik' untuk kesehatan,5,neutral,positive,4,kesehatan,1
"terimakasih dok, sehat sehat ya, terimakasih atas saran sarannya",5,neutral,positive,11,terimakasih sehat sehat terimakasih saran sarannya,6
sangat baik dan memuaskan,5,positive,positive,4,memuaskan,1
sangat baik,5,negative,positive,2,,0
respon cepat... pelayanan baik sekali,5,negative,positive,6,respon cepat pelayanan,3
apa obat pereda sakit karna keseleo,5,negative,positive,6,obat pereda sakit karna keseleo,5
"menurut aku the best banget dech ini aplikasi,, aku suka banget, banyak artikel2 yg bisa kita baca, n banyak +ilmu pengetahuannya,, trus d samping itu kita bisa langsung berhubungan dengan dokter2 yg ada d sekitar kita dengan mudah",5,positive,positive,44,the best dech aplikasi suka artikel2 baca n ilmu pengetahuannya trus d samping langsung berhubungan dokter2 d mudah,18
jawaban jelas dan sangat membantu..,5,negative,positive,6,membantu,1
mantab bagus sekali,5,neutral,positive,3,mantab bagus,2
sangat puas,5,neutral,positive,2,puas,1
siip,5,neutral,positive,1,siip,1
apk yg sangat berguna,5,negative,positive,4,apk berguna,2
wah sangat membantu. memudahkan konsultasi dengan dokter spesialis tanpa ke rumah sakit,5,negative,positive,13,membantu memudahkan konsultasi dokter spesialis rumah sakit,7
jangan percaya sama apk ini karena tidak bisa di buka,1,positive,negative,10,percaya apk buka,3
begini dok mata saya kelopak nya masuk ke dalam dan kelihatan nya bola mata jadi besar kelopak bawah jadi berkntung berkedip juga rasa nya seret ga enak kira kira bisa sembuh apa tida,5,negative,positive,33,mata kelopak masuk bola mata kelopak berkntung berkedip seret enak sembuh tida,12
dokter ramah puas pokonya,4,negative,positive,4,dokter ramah puas pokonya,4
responnya cepat dan penjelasan jg mudah di mengerti,4,neutral,positive,8,responnya cepat penjelasan jg mudah mengerti,6
lagi nunggu jawaban nya,5,negative,positive,4,nunggu,1
dokter nya sangat ramah dan cantik lagi,5,neutral,positive,7,dokter ramah cantik,3
cepat dan jelas,5,negative,positive,3,cepat,1
mantap men,5,negative,positive,2,mantap men,2
sangat membantu untuk konsultasinonline,5,neutral,positive,4,membantu konsultasinonline,2
puass,5,neutral,positive,1,puass,1
"respon cepat, sangat bagus",5,positive,positive,5,respon cepat bagus,3
respon dokter baik dan ramah,5,negative,positive,5,respon dokter ramah,3
terbaik karena lebih mudah konsultasi dengan dokter ahli meskipun d rumah,5,positive,positive,11,terbaik mudah konsultasi dokter ahli d rumah,7
terimakasih,5,neutral,positive,1,terimakasih,1
sangat membantu,5,negative,positive,2,membantu,1
tidak puas atas tanggapan hasil dr keluhan.,1,negative,negative,8,puas tanggapan hasil keluhan,4
sangat bermanfaat sekali dokter nya baik ramah,5,neutral,positive,7,bermanfaat dokter ramah,3
respon sangat cepat tdk sampai 2 menit. resep juga lgsg diberikan. sangat puas,5,negative,positive,15,respon cepat tdk 2 menit resep lgsg puas,8
bgus,4,negative,positive,1,bgus,1
puassss,5,negative,positive,1,puassss,1
"dokter baik, penjelasan memuaskan menjawab setiap pertanyaan",5,negative,positive,8,dokter penjelasan memuaskan,3
sangat puas dgn aplikasi ini,5,negative,positive,5,puas dgn aplikasi,3
oke,5,neutral,positive,1,oke,1
mantap pelayanannya,5,neutral,positive,2,mantap pelayanannya,2
ramah dokter nya,5,negative,positive,3,ramah dokter,2
sangat ramah dan cepat menangani nya,5,negative,positive,6,ramah cepat menangani,3
bagus dalam semua hal terutama dokternya ramah dan baik ,5,neutral,positive,9,bagus dokternya ramah,3
mantap,5,negative,positive,1,mantap,1
good,5,neutral,positive,1,good,1
sangar membantu,5,neutral,positive,2,sangar membantu,2
"ini aplikasi overclaim, obat saya tidak dikirim-kirim padahal di aplikasi bilang max 1 jam!!!!, chat cs nya gaada ngebantu sama sekali orang sudah mau mati tapi tidak diantar"" akhirnya terpaksa beli di apotik!!! dasar penipuan",1,negative,negative,45,aplikasi overclaim obat dikirimkirim aplikasi bilang max 1 jam chat cs gaada ngebantu orang mati diantar terpaksa beli apotik dasar penipuan,21
bagus sangat bermanfaat,5,negative,positive,3,bagus bermanfaat,2
puas...dokter nya ramah dan cpt respon,5,neutral,positive,8,puasdokter ramah cpt respon,4
baik dan banyak info juga,4,positive,positive,5,info,1
"sudah bayar tapi dokternya gak merespon,gak ada solusi.terus bagaimana?? kecewa si,soalnya juga sedang online dokternya.",3,neutral,neutral,22,bayar dokternya merespongak solusiterus kecewa sisoalnya online dokternya,8
"alhamdulillah penjelasannya cukup membantu buat saya, walaupun yg sya tanya seharus n'y ke dokter tht tpi terimakasih banyak ya bu atas informasi dan arahan n'y good job sehat selalu bu dokter ",5,neutral,positive,36,alhamdulillah penjelasannya membantu sya seharus ny dokter tht tpi terimakasih bu informasi arahan ny good job sehat bu dokter,19
baik,5,negative,positive,1,,0
sangat membantu,5,negative,positive,2,membantu,1
halo dok mau nanya apakah kalau telat haid kisaran 2 apa 3 mingguan tapi belum d tespek apa boleh berhubungan intim dok takut ngaruh gmana gtu dok mohon arahan nya,5,negative,positive,30,halo nanya telat haid kisaran 2 3 mingguan d tespek berhubungan intim takut ngaruh gmana gtu mohon arahan,18
terimakasih dokter cantik. dokter rama aku suka.,5,neutral,positive,9,terimakasih dokter cantik dokter rama suka,6
assalamualikum kenapa saya sudah donlod aplikasi alodokter katanya tidak menerima akses saya,2,neutral,negative,12,assalamualikum donlod aplikasi alodokter menerima akses,6
responsif ,5,neutral,positive,1,responsif,1
"terimakasih penjelasan nya bu dokter, sehat trs & sukses trs buat ibu dokter ya",5,neutral,positive,15,terimakasih penjelasan bu dokter sehat trs sukses trs dokter,9
respon kurang cepat,1,neutral,negative,3,respon cepat,2
"alodokter tempat berobat dan konsultasi secara online ,selalu dipercaya sebagaimana berobat di rumah sakit",5,positive,positive,15,alodokter berobat konsultasi online dipercaya berobat rumah sakit,8
bagus bngt saranya cocok untuk ibu hamil trima kasih dokter,5,positive,positive,10,bagus bngt saranya cocok hamil trima kasih dokter,8
responnya cepat dan mudah dimengerti,5,neutral,positive,5,responnya cepat mudah dimengerti,4
respon dokter lama. kebanyakan pertanyaan nya template. ga real seperti konsultasi dokter dan pasien. pertanyaan sdh dijawab ketika membalas nya lama. not recomended. untungnya pake admedika. kalo pembayaran pribadi pasti sangat merugikan,1,negative,negative,38,respon dokter kebanyakan template real konsultasi dokter pasien sdh membalas not recomended untungnya pake admedika kalo pembayaran pribadi merugikan,19
respon sangat cepat,5,neutral,positive,3,respon cepat,2
good,5,neutral,positive,1,good,1
dokternya ramah,5,negative,positive,2,dokternya ramah,2
sangat membantu dan memudahkan,5,positive,positive,4,membantu memudahkan,2
dokter yang ramah baik dan menjelaskan secara detail dan sangat jelas,5,positive,positive,11,dokter ramah detail,3
"blm tau se worth it apa, soalnya baru nyoba dann daftar masuk apk nya aja susahh bangettt mau no otp nya kaga kekirim"" udh nyoba ampe 5x",2,positive,negative,29,blm tau worth it nyoba dann daftar masuk apk susahh bangettt no otp kaga kekirim udh nyoba ampe 5x,19
"dokter yg bijaksana, puas curhatnya",5,negative,positive,6,dokter bijaksana puas curhatnya,4
sangat membantu,5,negative,positive,2,membantu,1
baik dan memuaskan,5,neutral,positive,3,memuaskan,1
puas baik dan responsip,5,neutral,positive,4,puas responsip,2
bgus,5,negative,positive,1,bgus,1
nunggu sampai 30 menit tidak di jawab sama dokter risna safitri,1,neutral,negative,11,nunggu 30 menit dokter risna safitri,6
sangat membantu dikala membutuhkan,5,neutral,positive,4,membantu dikala membutuhkan,3
respon dokter sangat baik dan mudah dipahami..,5,neutral,positive,8,respon dokter mudah dipahami,4
teliti sekali dokternya,5,negative,positive,3,teliti dokternya,2
dokter responsif.. penjelasannya mudah dipahami. trimakasih,5,negative,positive,8,dokter responsif penjelasannya mudah dipahami trimakasih,6
"dr rahmat risky, terima kasih pak",5,negative,positive,7,rahmat risky terima kasih,4
"dokter y baik,penjelasan rinci dan sabar utk balas chat,pertnyaan dijawab dgn seksama dan maksimal..trmksh dokter ..sehat sllu",5,positive,positive,24,dokter y baikpenjelasan rinci sabar utk balas chatpertnyaan dgn seksama maksimaltrmksh dokter sehat sllu,14
bagus,5,neutral,positive,1,bagus,1
aaah serba perbayar,1,negative,negative,3,aaah serba perbayar,3
"sangat detail,,respon cepat,,makasih dokk",5,negative,positive,8,detailrespon cepatmakasih dokk,3
"tanggap, cepat sangat membantu",5,negative,positive,5,tanggap cepat membantu,3
maksih dok,5,neutral,positive,2,maksih,1
baik,5,negative,positive,1,,0
"dr nya ramah sabar njelaskan nya,trimakasih dr terus sukses",5,neutral,positive,11,ramah sabar njelaskan nyatrimakasih sukses,5
dokter sangatbramah dan rinci,5,negative,positive,4,dokter sangatbramah rinci,3
"jadwal dokter sama yg di aplikasi beda, mana refundnya lama",2,positive,negative,11,jadwal dokter aplikasi beda refundnya,5
respon cepat dan dokter ramah,5,negative,positive,5,respon cepat dokter ramah,4
cepat penangananya,5,negative,positive,2,cepat penangananya,2
"keren banget sih, bisa langsung konsul ke dokter spesialis, respon juga cepat, dan bermanfaat banget untuk ibu baru seperti saya",5,neutral,positive,23,keren sih langsung konsul dokter spesialis respon cepat bermanfaat,9
dokter nya sngat baik dan sangat mebantu,5,negative,positive,7,dokter sngat mebantu,3
good,5,neutral,positive,1,good,1
respon dokternya bagus,5,neutral,positive,3,respon dokternya bagus,3
verifikasi no hp dah d isi malah nyangkut,1,positive,negative,8,verifikasi no hp dah d isi nyangkut,7
"trmksih dokter,,dokternya ramah,,dan mau menunggu keluh kesah saya",5,negative,positive,12,trmksih dokterdokternya ramahdan menunggu keluh kesah,6
terimakasih dokter untuk penjelasannya,5,negative,positive,4,terimakasih dokter penjelasannya,3
"semoga anak saya cepat sembuh dan bersih lg kulit nya, terimakasih dokter.",5,positive,positive,14,semoga anak cepat sembuh bersih lg kulit terimakasih dokter,9
puas..sngt mmbantu,5,negative,positive,4,puassngt mmbantu,2
good,5,neutral,positive,1,good,1
trm ksh dokter... luar biasa penjelasan nya,5,neutral,positive,8,trm ksh dokter penjelasan,4
sangat membantu..,5,neutral,positive,3,membantu,1
sangat membantu,5,negative,positive,2,membantu,1
luar biasa dok penjelasannya,5,negative,positive,4,penjelasannya,1
mantap,5,negative,positive,1,mantap,1
respon cepat dokternya baik,5,positive,positive,4,respon cepat dokternya,3
sangat membantu dalam pertanyaan kita sebagai pasian,5,neutral,positive,7,membantu pasian,2
dokternya ramah dan jelas,5,negative,positive,4,dokternya ramah,2
"cepat, tegas, ringkas.. terima kasih",5,positive,positive,8,cepat ringkas terima kasih,4
"diluar dari apk nya yang sudah cukup bagus tampilan dan fiturnya. saya ingin memberi ulasan pada pelayanan dokter umum, untuk waktu respon nya 1 jam kemudian setelah saya bertanya, dan ketika saya tahu sudah dijawab setelah 10 menit dijawab, jadi pembicaraan sudah ditutup. kecewa.",2,negative,negative,50,diluar apk bagus tampilan fiturnya ulasan pelayanan dokter respon 1 jam 10 menit pembicaraan ditutup kecewa,16
"baik banget,dan ramah",5,neutral,positive,5,bangetdan ramah,2
"respon lama, nngu gak jawab2 akhir ny tinggal ngerjain sesuatu dlu bgtu lihat hp udh di bales dokternya tapi kasi kita waktu buat bales ke dokter nya lagi cm sbntr, kita blm konfirmasi untuk okein ttup sesi, tapi di ttup otomatis sama aplikasi nya, jadi nya udh bayar sia2 gak dpet apa2",1,negative,negative,56,respon nngu jawab2 ny tinggal ngerjain dlu bgtu lihat hp udh bales dokternya kasi bales dokter cm sbntr blm konfirmasi okein ttup sesi ttup otomatis aplikasi udh bayar sia2 dpet apa2,31
bagus cepat,5,neutral,positive,2,bagus cepat,2
"dokternya ramah dan cepat dalm menjawab konsultasi pasien, namun utuk pemesanan resep obat via online lambat dan saya merasa kecewa karna mnunggu sangat lama obat yng d pesan gk sampai"".sya berharap kejadian sprti ini tidak terulang kembali",2,negative,negative,40,dokternya ramah cepat dalm konsultasi pasien utuk pemesanan resep obat via online lambat kecewa karna mnunggu obat yng d pesan gk sampaisya berharap kejadian sprti terulang,26
penjelasan sangat detail dan dokternya ramah good joob,5,positive,positive,8,penjelasan detail dokternya ramah good joob,6
ingin tahu tentang kedokteran,5,neutral,positive,4,kedokteran,1
sangat rinci,4,negative,positive,2,rinci,1
"sudah bayar, aplikasi gabisa dibuka ini kenapa dah??",3,positive,neutral,11,bayar aplikasi gabisa dibuka dah,5
sangat membantu,5,negative,positive,2,membantu,1
"responnya lama banget, chat 45 menit tidak beres, nunggu balas dari dokternya 15 menit belum lagi sekali chat balasnya lama poll dulu alodokter tidak seperti ini tolong di perbaiki sistemnya",3,positive,neutral,32,responnya chat 45 menit beres nunggu balas dokternya 15 menit chat balasnya poll alodokter tolong perbaiki sistemnya,17
saya sudah bayar ko belum ada jawabannya dan mau chat lagi disuruh bayar lagi ???,1,neutral,negative,17,bayar ko jawabannya chat disuruh bayar,6
paket obat nya lama banget. udah 12 hari masih belum sampai,1,neutral,negative,12,paket obat 12,3
sangat puas,5,neutral,positive,2,puas,1
terima kasih,5,neutral,positive,2,terima kasih,2
sangat ramah dan membantu sekali,5,negative,positive,5,ramah membantu,2
"respon dokter lama, disuruh tunggu 9 menit tp nyatanya 1 jam. minta refund banyak alasannya pdhl org lg skt disuruh nunggu lama",1,positive,negative,24,respon dokter disuruh tunggu 9 menit tp 1 jam refund alasannya pdhl org lg skt disuruh nunggu,17
luar biasa,5,neutral,positive,2,,0
kok saya udah masukan nomor hp udah dapet kode ga masuk masuk ya padahal udah saya masukan kodenya tpi gada apapa cuman ada verivikasi otp doang sama kodenya,3,negative,neutral,28,masukan nomor hp dapet kode masuk masuk masukan kodenya tpi gada apapa cuman verivikasi otp doang kodenya,17
"underrated bayar mahal² gaada jawaban. kenapa harus lolos verification google play sih, sama aja scam ini",1,positive,negative,18,underrated bayar mahal² gaada lolos verification google play sih scam,10
ingin konsul tpi tdk ada aplikasi dana jdi tdk bisa konsultasi karna sy hanya punya aplikasi dana,3,neutral,neutral,17,konsul tpi tdk aplikasi dana jdi tdk konsultasi karna sy aplikasi dana,12
sangat membantu,3,negative,neutral,2,membantu,1
"penjelasannya sangat membantu,, semoga saya bisa menjadi lebh tenang setlh ini.",5,neutral,positive,14,penjelasannya membantu semoga lebh tenang setlh,6
"apaan..barusan chat ,katanya disuruh tunggu 8 menit. lah ini lama banget ,udah set.jam dan gak dijawab2 pdhl udah bayar juga. komplen ke customer service malah gak ada jawaban. jangan download aplikasi ini, jelek banget",1,negative,negative,42,apaanbarusan chat disuruh tunggu 8 menit setjam dijawab2 pdhl bayar komplen customer service download aplikasi jelek,16
puas,5,negative,positive,1,puas,1
baguss,5,neutral,positive,1,baguss,1
sangat membantu sekali untuk tes cpns,5,neutral,positive,6,membantu tes cpns,3
terimakasih banyak untuk solusi nya ,5,neutral,positive,5,terimakasih solusi,2
good,5,neutral,positive,1,good,1
"beli obat lewat aplikasi alodokter , berhubung di apoteknya gak ada di aliran manual beli di apotek k24 ternyata harga di aplikasi alodokter sama k24 berbeda jauh separuh harga. gue rugiiiiiii dari 51 ribuan jadi 27 ribuan....",1,positive,negative,39,beli obat aplikasi alodokter berhubung apoteknya aliran manual beli apotek k24 harga aplikasi alodokter k24 berbeda separuh harga gue rugiiiiiii 51 ribuan 27 ribuan,24
jelek pelayanan nya lambat bangettt,1,negative,negative,5,jelek pelayanan lambat bangettt,4
aplikasi lamban jadi jawaban dokter lama masuk,3,neutral,neutral,7,aplikasi lamban dokter masuk,4
dokternya kompeten dan fast response,5,neutral,positive,5,dokternya kompeten fast response,4
"dr. tania maulani, sp.m lama sekali dia respon bagian mata. saya kan member uang di potong perbulan dari alodokter. tapi dikecewakan begini",1,positive,negative,25,tania maulani spm respon mata member uang potong perbulan alodokter dikecewakan,11
"mengecewakan saya chat dg spkk, berbayar, tapi 30 menit tidak efektif. chat tidak masuk² meskipun sudah di refresh. alhasil tidak ada solusi dr dokter.",1,neutral,negative,29,mengecewakan chat dg spkk berbayar 30 menit efektif chat masuk² refresh alhasil solusi dokter,14
dokterna baik n tanggap,5,neutral,positive,4,dokterna n tanggap,3
baik dan sabar serta menyenangkan,4,neutral,positive,5,sabar menyenangkan,2
dokternya sangat clear menjelaskan dan menjawab pertanyaan saya.,5,negative,positive,9,dokternya clear,2
good,5,neutral,positive,1,good,1
bagussss,5,neutral,positive,1,bagussss,1
sangat membantu dokternya ramah terimakasih dokter,5,neutral,positive,6,membantu dokternya ramah terimakasih dokter,5
mau tanya keluhan bola mata pasca kecelakaan pandangan ganda,4,negative,positive,9,keluhan bola mata pasca kecelakaan pandangan ganda,7
"dokternya baik, informasi yang diberikan jelas, sangat membantu.",5,neutral,positive,11,dokternya informasi membantu,3
cepat respon dan penjelasan detail,5,negative,positive,5,cepat respon penjelasan detail,4
"aplikasi brengsek. orang lagi sakit malah pesen obat dibatalkan melulu. chat apotek k24 kemanggisan katanya yg batalin aplikasi alodokter, chat alodokter katanya yang batalin apoteknya",1,negative,negative,28,aplikasi brengsek orang sakit pesen obat dibatalkan melulu chat apotek k24 kemanggisan batalin aplikasi alodokter chat alodokter batalin apoteknya,19
makin lemot,1,neutral,negative,2,lemot,1
"dokternya ramah,penjelasannya mudah dimengerti sangat menbantu sekali",5,positive,positive,9,dokternya ramahpenjelasannya mudah dimengerti menbantu,5
awesome penjelasan sangat detail,5,neutral,positive,4,awesome penjelasan detail,3
pelayanannya pendaftaran memuaskan,5,negative,positive,3,pelayanannya pendaftaran memuaskan,3
pernah pakai dan puas,5,neutral,positive,4,pakai puas,2
dokternya sangat sabar dan baik,5,neutral,positive,5,dokternya sabar,2
mantap,5,negative,positive,1,mantap,1
sangat ramah dan mudah dipahami penjelasan nya,5,neutral,positive,7,ramah mudah dipahami penjelasan,4
terima kasih. respon dokter nya sangat cepat,5,neutral,positive,8,terima kasih respon dokter cepat,5
"cepat tanggap, dr baik n sangat membantu,smoga obtnya cocok",5,neutral,positive,12,cepat tanggap n membantusmoga obtnya cocok,6
"customer services kurang membantu, lama prosesnya cuman via wa, tidak bisa protes kalau barang yang dikirim salah. harga dan kuantitas yang tercantum di aplikasi tidak sesuai dengan jumlah barang yang di dapat saat sampai di rumah (harusnya 24 ribu dapat 2 pcs, malah cuman satu yang dikirim). kalau ngajuin pembatalan terkait janji cek kesehatan susah, prosesnya lama. tidak bisa kasih catatan juga buat apotek kalau mau kasih notes saat beli barang",2,neutral,negative,80,customer services membantu prosesnya cuman via wa protes barang dikirim salah harga kuantitas tercantum aplikasi sesuai barang rumah 24 ribu 2 pcs cuman dikirim ngajuin pembatalan terkait janji cek kesehatan susah prosesnya kasih catatan apotek kasih notes beli barang,39
"respon sangat cepat sekali serta penjelasannya detail mudah dimengerti, trimaksih dok ",5,neutral,positive,12,respon cepat penjelasannya detail mudah dimengerti trimaksih,7
"chat dokter spesialis berbayar tapi jawabannya satu dua patah kata, sangat tidak memuaskan, mending cari rujukan bpjs. masih lebih baik pelayanan tatap muka bpjs daripada bayar 45.000 , pelit jawaban.",1,neutral,negative,34,chat dokter spesialis berbayar jawabannya patah memuaskan mending cari rujukan bpjs pelayanan tatap muka bpjs bayar 45000 pelit,18
"chat kaya template, dijelasin gimanya keadaan, dibaca tok, notifnya dokter sedang menganalisis masalahmu, tapu luamaaaa setengah jam lebih tiba2 endchat, percuma bayar ga ada hasil apa2!",1,neutral,negative,32,chat kaya template dijelasin gimanya dibaca tok notifnya dokter menganalisis masalahmu tapu luamaaaa jam tiba2 endchat bayar hasil apa2,19
"kapan indonesia maju, kalau chat dengan dokter aja berbayar, sedangkan chat di aplikasi biru gratis, padahal cuma nanya masalah seputar penyakit....",1,positive,negative,25,indonesia maju chat dokter berbayar chat aplikasi biru gratis nanya seputar penyakit,12
gara gara 1 dokter pelayanan nya ga bagus . belum beres diagnosa dan blm dpt resep obat tapi chat sudah di akhir secara sebelah pihak . mau di refund proses nya 14 hari kerja .kelamaan ..,2,negative,negative,36,gara gara 1 dokter pelayanan bagus beres diagnosa blm dpt resep obat chat sebelah refund proses 14 kerja,18
sangat berguna,5,neutral,positive,2,berguna,1
siiip mantap,5,positive,positive,2,siiip mantap,2
"ramah,baik,sopan",5,positive,positive,5,ramahbaiksopan,1
memuaskan,4,negative,positive,1,memuaskan,1
respon yang sangat baik,5,positive,positive,4,respon,1
baik,5,negative,positive,1,,0
penjelasan cukup memuaskan,4,neutral,positive,3,penjelasan memuaskan,2
terbaik,5,neutral,positive,1,terbaik,1
gak usah instal. mending ke dokter yg bersangkutan saja secara langsung. konsul di sini buang2 uang. ujung2 harus datang ke dokter langsung. karna yg di kasih dokter sini cuma teori yg bejibun di google. menyesal sy keluar uang utk konsul di dokter sini. buang2 uang saja.,1,negative,negative,53,instal mending dokter bersangkutan langsung konsul buang2 uang ujung2 dokter langsung karna kasih dokter teori bejibun google menyesal sy uang utk konsul dokter buang2 uang,25
ini sangat bagus,5,negative,positive,3,bagus,1
membantu,5,negative,positive,1,membantu,1
dokternya sangat baik..informatif dan sangat memberkatiiii..,5,negative,positive,9,dokternya baikinformatif memberkatiiii,3
dokternya lama jawabnya terus baru jawab chatnya langsung tertutup,1,positive,negative,9,dokternya chatnya langsung tertutup,4
sangat memuaskan,5,negative,positive,2,memuaskan,1
baik cepat respon mksh dok..,5,negative,positive,6,cepat respon mksh,3
dokter nya ramah,5,neutral,positive,3,dokter ramah,2
"gak bisa login, mentok sampe masukin email",1,neutral,negative,8,login mentok sampe masukin email,5
mudah²an cocok dengan obatnya,4,negative,positive,4,mudah²an cocok obatnya,3
layanan baik,4,neutral,positive,2,layanan,1
fast respon,5,neutral,positive,2,fast respon,2
ku kira gratis rupanya prabayar ,1,negative,negative,5,ku gratis prabayar,3
aplikasi sangat menjengkelkan saya sudah bayar tapi gaada konfirmasi bisa langsung cht malah suru bayar ulang penipuan tpi rate bagus jangan menjelekan aplikasi sendiri udh tau lgi urgent bgt lol,1,positive,negative,30,aplikasi menjengkelkan bayar gaada konfirmasi langsung cht suru bayar ulang penipuan tpi rate bagus menjelekan aplikasi udh tau lgi urgent bgt lol,22
dokter yg sabar makasih dg semuanya,5,positive,positive,6,dokter sabar makasih dg,4
endang sukindar responsip dokternya ramah dan menjawab semua keluhan dan saya akn mencobanya,5,negative,positive,13,endang sukindar responsip dokternya ramah keluhan akn mencobanya,8
"penjelasan dokter bagus, dokter ramah",5,negative,positive,6,penjelasan dokter bagus dokter ramah,5
sangat memusakan,4,negative,positive,2,memusakan,1
sangat membantu,5,negative,positive,2,membantu,1
dokternya baik responnya,5,neutral,positive,3,dokternya responnya,2
"gw nyeritain keluhan, lalu dokternya jawab akan saya jelaskan, udh gw tunggu kurleb setengah jam, tiba² diputusin percakapannya sama dokternya, gak amanah, gak iklas gw anjer",1,negative,negative,31,gw nyeritain keluhan dokternya udh gw tunggu kurleb jam tiba² diputusin percakapannya dokternya amanah iklas gw anjer,17
sangat membantu,5,negative,positive,2,membantu,1
sangat jelas dalam menjelaskan,4,neutral,positive,4,,0
"tidak muncul keterangan/penjelasan obat dari resep dokter yg diberikan, langsung diarahkan untuk check out",3,neutral,neutral,15,muncul keteranganpenjelasan obat resep dokter langsung diarahkan check out,9
aplikasi apa ini mau konsultasi aja berbayar begitu mahal tolong hapus aplikasi ini dari playstore gak ada manfaatnya udah berbayar dokternya selow respon hoalah,1,negative,negative,24,aplikasi konsultasi berbayar mahal tolong hapus aplikasi playstore manfaatnya berbayar dokternya selow respon hoalah,14
dktrnya baik..dan responnya jg cpt . udh 2 x cht trnyta ma dktr yg sma...shat2 sllu dktr...,5,neutral,positive,22,dktrnya baikdan responnya jg cpt udh 2 x cht trnyta ma dktr smashat2 sllu dktr,15
baik sangat baik,5,positive,positive,3,,0
baik,5,negative,positive,1,,0
luar biasa penjelasanya,5,negative,positive,3,penjelasanya,1
pelayanan ramah cepat memberikan solusi,5,negative,positive,5,pelayanan ramah cepat solusi,4
baik bagusss,5,neutral,positive,2,bagusss,1
"aplikasinya ga bisa dibuka sama sekali di hp saya (andro), cuma muncul tulisan alodokter latar biru doang. udh coba uninstall trs install ulang tetep aja. saya beri bintang 1 dulu, tolong dibenahi",1,negative,negative,38,aplikasinya dibuka hp andro muncul tulisan alodokter latar biru doang udh coba uninstall trs install ulang tetep bintang 1 tolong dibenahi,21
mahal konsul lewat online aja bayar ...,2,neutral,negative,7,mahal konsul online bayar,4
dokternya ramah,5,negative,positive,2,dokternya ramah,2
sangat membantu,5,negative,positive,2,membantu,1
j 04 48. halo sy kokoh dr nugroho setiawan teus gl 25 agst hr minggu ibu t kiem j 08 09 sm cik ayang ke gereja roxy terus jalan2 ke mall central park cp tgl 26 agst ak j 01 pagi mangan bakwan sy kokoh bakwan,5,positive,positive,46,j 04 48 halo sy kokoh nugroho setiawan teus gl 25 agst hr minggu t kiem j 08 09 sm cik ayang gereja roxy jalan2 mall central park cp tgl 26 agst ak j 01 pagi mangan bakwan sy kokoh bakwan,41
chat saya tidak dibalas dokter padahal saya sudah bayar biaya konsultasi.,1,neutral,negative,12,chat dibalas dokter bayar biaya konsultasi,6
sangat baik dan sopan,5,neutral,positive,4,sopan,1
terima kasih alodokter,5,neutral,positive,3,terima kasih alodokter,3
"jawaban memuaskan,, tapi slow respon mungkin karna hari minggu.",4,negative,positive,12,memuaskan slow respon karna minggu,5
informatif,5,neutral,positive,1,informatif,1
