content,score,sentiment_label,sentiment_rating,wordCount,review_without_stopwords,wordCount_after_stopwords,review_stem_without_stopwords
informasi dan rekomendasi lengkap dan mudah dipahami,5,positive,positive,7,informasi rekomendasi lengkap mudah dipahami,5,informasi rekomendasi lengkap mudah paham
baik' untuk kesehatan,5,neutral,positive,4,kesehatan,1,sehat
"terimakasih dok, sehat sehat ya, terimakasih atas saran sarannya",5,neutral,positive,11,terimakasih sehat sehat terimakasih saran sarannya,6,terimakasih sehat sehat terimakasih saran saran
sangat baik dan memuaskan,5,positive,positive,4,memuaskan,1,muas
respon cepat... pelayanan baik sekali,5,negative,positive,6,respon cepat pelayanan,3,respon cepat layan
apa obat pereda sakit karna keseleo,5,negative,positive,6,obat pereda sakit karna keseleo,5,obat reda sakit karna keseleo
"menurut aku the best banget dech ini aplikasi,, aku suka banget, banyak artikel2 yg bisa kita baca, n banyak +ilmu pengetahuannya,, trus d samping itu kita bisa langsung berhubungan dengan dokter2 yg ada d sekitar kita dengan mudah",5,positive,positive,44,the best dech aplikasi suka artikel2 baca n ilmu pengetahuannya trus d samping langsung berhubungan dokter2 d mudah,18,the best dech aplikasi suka artikel2 baca n ilmu tahu trus d samping langsung hubung dokter2 d mudah
jawaban jelas dan sangat membantu..,5,negative,positive,6,membantu,1,bantu
mantab bagus sekali,5,neutral,positive,3,mantab bagus,2,mantab bagus
sangat puas,5,neutral,positive,2,puas,1,puas
siip,5,neutral,positive,1,siip,1,siip
apk yg sangat berguna,5,negative,positive,4,apk berguna,2,apk guna
wah sangat membantu. memudahkan konsultasi dengan dokter spesialis tanpa ke rumah sakit,5,negative,positive,13,membantu memudahkan konsultasi dokter spesialis rumah sakit,7,bantu mudah konsultasi dokter spesialis rumah sakit
jangan percaya sama apk ini karena tidak bisa di buka,1,positive,negative,10,percaya apk buka,3,percaya apk buka
begini dok mata saya kelopak nya masuk ke dalam dan kelihatan nya bola mata jadi besar kelopak bawah jadi berkntung berkedip juga rasa nya seret ga enak kira kira bisa sembuh apa tida,5,negative,positive,33,mata kelopak masuk bola mata kelopak berkntung berkedip seret enak sembuh tida,12,mata kelopak masuk bola mata kelopak berkntung kedip seret enak sembuh tida
dokter ramah puas pokonya,4,negative,positive,4,dokter ramah puas pokonya,4,dokter ramah puas poko
responnya cepat dan penjelasan jg mudah di mengerti,4,neutral,positive,8,responnya cepat penjelasan jg mudah mengerti,6,responnya cepat jelas jg mudah erti
lagi nunggu jawaban nya,5,negative,positive,4,nunggu,1,nunggu
dokter nya sangat ramah dan cantik lagi,5,neutral,positive,7,dokter ramah cantik,3,dokter ramah cantik
cepat dan jelas,5,negative,positive,3,cepat,1,cepat
mantap men,5,negative,positive,2,mantap men,2,mantap men
sangat membantu untuk konsultasinonline,5,neutral,positive,4,membantu konsultasinonline,2,bantu konsultasinonline
puass,5,neutral,positive,1,puass,1,puass
"respon cepat, sangat bagus",5,positive,positive,5,respon cepat bagus,3,respon cepat bagus
respon dokter baik dan ramah,5,negative,positive,5,respon dokter ramah,3,respon dokter ramah
terbaik karena lebih mudah konsultasi dengan dokter ahli meskipun d rumah,5,positive,positive,11,terbaik mudah konsultasi dokter ahli d rumah,7,baik mudah konsultasi dokter ahli d rumah
terimakasih,5,neutral,positive,1,terimakasih,1,terimakasih
sangat membantu,5,negative,positive,2,membantu,1,bantu
tidak puas atas tanggapan hasil dr keluhan.,1,negative,negative,8,puas tanggapan hasil keluhan,4,puas tanggap hasil keluh
sangat bermanfaat sekali dokter nya baik ramah,5,neutral,positive,7,bermanfaat dokter ramah,3,manfaat dokter ramah
